VehicleId	OfficialRuntimeIndex	CarName	UiName	KeyItemId
38	60	Nissan Skyline GTR	Cielo	pc_0033c
63	61	Audi S4	USR	pc_0034s
39	62	Mitsubishi LancerEvolution VIII	Fondo	pc_0035c
78	63	AUDI R8	UR E3	pc_0056s
87	64	Ford SVT F-150 Lighting	Titan	pc_0078s
91	65	Porsche Cayman	Lightning	pc_0082s
98	66	VW Scirocco	Jupiter	pc_0087s
230	67	Infiniti Essence	Liner	pc_0230s
12	68	Lotus Elise	Romeo	pc_0036s
42	69	SAAB 9-5 Aero	Myth	pc_0037s
15	70	Proto Spirra	Spirit	pc_0038s
67	71	TVR Tuscan	CR2	pc_0039s
68	72	Honda MDX	Deluxe	pc_0040s
45	73	Alfa Romeo Spider	Tiger	pc_0041s
41	74	Shelby Cobra GT500	Snake	pc_0042s
47	75	Lexus SC430	Action	pc_0043s
69	76	Lexus RX330	Solution	pc_0044s
43	77	Jaguar S-type 2.5	Solo	pc_0045s
46	78	BMW M6	Leo	pc_0055s
50	79	Bugatti Veyron	Duel	pc_0066s
93	80	Mercedes-Benz Nes C-class	TRIO	pc_0084s
100	81	Nissan Skyline GTR35	Sora GT	pc_0095s
53	82	McLaren F1	Tamer	pc_0089s
160	83	LEXUS LFA	Shark	pc_0160s
251	84	Dartz Prombron Iron Diamond	PANZER	pc_0251s
190	85	TOYOTA FT-86	Panda2	pc_0190s
240	86	Toyota AE-86	Panda MINI	pc_0240s
241	87	Mazda RX7	Rotary MINI	pc_0241s
242	88	Mitsubishi LancerEvolution VIII	Fondo MINI	pc_0242s
243	89	Toyota Supra	Above MINI	pc_0243s
16	90	Mercedes-Benz SL55 AMG	Aria	pc_0046c
18	91	Dodge Viper SRT10	Viper	pc_0047s
19	92	Chevrolet Corvette	Indigo	pc_0048s
20	93	Maserati Spyder Cambio Corsa	Dew	pc_0049s
48	94	BMW Z8	Ruby	pc_0050s
70	95	Chrysler 300C SRT8	300C	pc_0051s
49	96	BMW 760Li	Seven	pc_0052s
72	97	Mercedes-Benz ML500	Vega	pc_0053s
74	98	BMW Z4 Coupe	Zorro	pc_0054s
97	99	RUF CTR3	RunnerR	pc_0086s
140	100	Lamborghini Reventon	Shadow	pc_0140s
141	101	Lamborghini Reventon	Shadow ST	pc_0141s
142	102	Lamborghini Reventon	Shadow BT	pc_0142s
262	103	Hyundai VELOSTER	V-STAR	pc_0262s
21	104	Bentley Continentel GTC	Puma	pc_0057s
22	105	Mercedes-Benz SLR McLaren	Utopia	pc_0058s
23	106	Aston Martin Vanquish	Cross	pc_0059s
24	107	Lamborghini Diablo GT	Gigas	pc_0060s
25	108	Mercedes-Benz CLK GTR Roadster	Arena	pc_0061s
194	109	Koenigsegg CCR	Leopard	pc_0094s
27	110	Porsche Carrera GT	Natura	pc_0063s
76	111	Hummer H3	Tyrant	pc_0064s
54	112	Enzo Ferrari	Nevera	pc_0068s
52	113	Maybach62	Torero	pc_0069s
85	114	BMW M6 Patrol_TW	Leo Patrol_TW	pc_0076s
88	115	BMW M6 Patrol_KR	Leo Patrol_KR	pc_0079s
89	116	Porsche Carrera GT Patrol_JP	Natura Patrol_JP	pc_0080s
127	117	Porsche Carrera GTR	Natura GTR	pc_0127s
77	118	Pagani Zonda Roadster	Hunter	pc_0088s
146	119	Pagani Zonda Roadster	Hunter ST	pc_0146s
147	120	Pagani Zonda Roadster	Hunter BT	pc_0147s
149	121	Ferrari 250 Testarossa	Fate	pc_0149s
150	122	Ferrari 250 Testarossa	Fate ST	pc_0150s
151	123	Ferrari 250 Testarossa	Fate BT	pc_0151s
153	124	Alfa Romeo 8C2300	Monza	pc_0153s
154	125	Alfa Romeo 8C2300	Monza ST	pc_0154s
155	126	Alfa Romeo 8C2300	Monza BT	pc_0155s
157	127	Ferrari F2003-GA	F03-MS	pc_0157s
158	128	Ferrari F2003-GA	F03-MS ST	pc_0158s
159	129	Ferrari F2003-GA	F03-MS BT	pc_0159s
165	130	Lancia Delta	Raptor	pc_0165s
166	131	Lancia Delta	Raptor ST	pc_0166s
167	132	Lancia Delta	Raptor BT	pc_0167s
168	133	Ferrari F50	Rosso	pc_0168s
169	134	Ferrari F50	Rosso ST	pc_0169s
170	135	Ferrari F50	Rosso BT	pc_0170s
186	136	New GT40	Winner	pc_0186s
187	137	New GT40	Winner ST	pc_0187s
188	138	New GT40	Winner BT	pc_0188s
191	139	Chevrolet Camaro	Ponica	pc_0191s
192	140	Chevrolet Camaro	Ponica ST	pc_0192s
193	141	Chevrolet Camaro	Ponica BT	pc_0193s
195	142	Jeep Willys WB	Allied	pc_0195s
196	143	Jeep Willys WB	Allied ST	pc_0196s
197	144	Jeep Willys WB	Allied BT	pc_0197s
210	145	Enzo Ferrari	Nevera MINI	pc_0210s
211	146	LEXUS LFA	Shark MINI	pc_0211s
212	147	Honda NSX	Genius MINI	pc_0212s
213	148	Lamborghini Diablo GT	Gigas MINI	pc_0213s
214	149	AUDI R8	UR E3 MINI	pc_0214s
215	150	Mercedes-Benz SL55	Aria MINI	pc_0215s
216	151	Nissan Skyline	Cielo MINI	pc_0216s
217	152	Lamborghini Cauntach	Fervor MINI	pc_0217s
218	153	Chevrolet Corvette Stingray	Swipe	pc_0218s
221	154	Ferrari 458 italia	Mirage	pc_0221s
224	155	Peterbilt 379	PRIME	pc_0224s
144	156	Aston Martin Rapide	Majesty	pc_0144s
201	157	Lamborghini Elemento	Mento	pc_0201s
202	158	Lamborghini Elemento	Mento ST	pc_0202s
203	159	Lamborghini Elemento	Mento BT	pc_0203s
198	160	Kubelwagen	AXIS	pc_0198s
199	161	Kubelwagen	AXIS ST	pc_0199s
200	162	Kubelwagen	AXIS BT	pc_0200s
205	163	Kia  POP	ECO	pc_0205s
206	164	Kia  POP	ECO ST	pc_0206s
207	165	Kia  POP	ECO BT	pc_0207s
234	166	Hummer H3	TyrantX	pc_0234s
235	167	Hummer H3	TyrantX CT	pc_0235s
227	168	Mazda Furai	Wave	pc_0227s
228	169	Mazda Furai	Wave ST	pc_0228s
229	170	Mazda Furai	Wave BT	pc_0229s
233	171	RENEGADE	RENEGADE	pc_0233s
238	172	RENEGADE	RENEGADE ST	pc_0238s
239	173	RENEGADE	RENEGADE BT	pc_0239s
232	174	Jaguar C-X75	Grace	pc_0232s
236	175	Jaguar C-X75	Grace ST	pc_0236s
237	176	Jaguar C-X75	Grace BT	pc_0237s
244	177	Hyundai Genesis Coupe	GSIX coop	pc_0244s
245	178	Hyundai Genesis Coupe	GSIX coop ST	pc_0245s
246	179	Hyundai Genesis Coupe	GSIX coop BT	pc_0246s
248	180	Lamborghini Murcielago	Murago	pc_0248s
249	181	Lamborghini Murcielago	Murago ST	pc_0249s
250	182	Lamborghini Murcielago	Murago BT	pc_0250s
252	183	Bmw I8 Vision	Imagine	pc_0252s
253	184	Bmw I8 Vision	Imagine ST	pc_0253s
254	185	Bmw I8 Vision	Imagine BT	pc_0254s
255	186	Benz SLS AMG	G-WING	pc_0255s
256	187	Benz SLS AMG	G-WING ST	pc_0256s
257	188	Benz SLS AMG	G-WING BT	pc_0257s
258	189	Maybach Exelero	EX-AERO	pc_0258s
259	190	Maybach Exelero	EX-AERO ST	pc_0259s
260	191	Maybach Exelero	EX-AERO BT	pc_0260s
261	192	KIA K5	ICINCO	pc_0261s
263	193	Mazda MX-5	MITEA	pc_0263s
264	194	Mazda MX-5	MITEA ST	pc_0264s
265	195	Mazda MX-5	MITEA BT	pc_0265s
266	196	SSC Tuatara	SPHEN	pc_0266s
267	197	SSC Tuatara	SPHEN ST	pc_0267s
268	198	SSC Tuatara	SPHEN BT	pc_0268s
270	199	DAIHATSU Copen	CANTATA	pc_0270s
271	200	DAIHATSU Copen	CANTATA ST	pc_0271s
272	201	DAIHATSU Copen	CANTATA BT	pc_0272s
276	202	Lamborghini Reventon	Shadow Xmas	pc_0276s
277	203	Pagani Zonda Roadster	Hunter Xmas	pc_0277s
278	204	Ferrari F50	Rosso Xmas	pc_0278s
279	205	Chevrolet Camaro	Ponica Xmas	pc_0279s
280	206	Lamborghini Elemento	Mento MINI	pc_0280s
281	207	BMW M1	PIETAS	pc_0281s
282	208	BMW M1	PIETAS ST	pc_0282s
283	209	BMW M1	PIETAS BT	pc_0283s
273	210	Ferrari 60F1	NSR05	pc_0273s
274	211	Ferrari 60F1	NSR05 ST	pc_0274s
275	212	Ferrari 60F1	NSR05 BT	pc_0275s
269	213	SUZUKI Jimny JB43	JIMMY	pc_0269s
287	214	HONDA S2000	SRI3	pc_0287s
288	215	HONDA S2000	SRI3 ST	pc_0288s
289	216	HONDA S2000	SRI3 BT	pc_0289s
